Row, Timestamp, Series 1, Series 2
0,0.907,0,0
1,0.917,0,0
2,0.927,0,0
3,0.937,0,0
4,0.947,0,0
5,0.957,0,0
6,0.967,0,0
7,0.977,0,0
8,0.987,0,0
9,0.997,0,0
10,1.007,0,0
11,1.017,0,0
12,1.027,0,0
13,1.037,0,0
14,1.047,0,0
15,1.057,0,0
16,1.067,0,0
17,1.077,0,0
18,1.087,0,0
19,1.097,0,0
20,1.107,0,0
21,1.117,0,0
22,1.127,0,0
23,1.137,0,0
24,1.147,0,0
25,1.157,0,0
26,1.167,0,0
27,1.177,0,0
28,1.187,0,0
29,1.197,0,0
30,1.207,0,0
31,1.217,0,0
32,1.227,0,0
33,1.237,0,0
34,1.247,0,0
35,1.257,0,0
36,1.267,0,0
37,1.277,0,0
38,1.287,0,0
39,1.297,0,0
40,1.307,0,0
41,1.317,0,0
42,1.327,0,0
43,1.337,0,0
44,1.347,0,0
45,1.357,0,0
46,1.367,0,0
47,1.377,0,0
48,1.387,0,0
49,1.397,0,0
50,1.407,0,0
51,1.417,0,0
52,1.427,0,0
53,1.437,0,0
54,1.447,0,0
55,1.457,0,0
56,1.467,0,0
57,1.477,0,0
58,1.487,0,0
59,1.497,0,0
60,1.507,0,0
61,1.517,0,0
62,1.527,0,0
63,1.537,0,0
64,1.547,0,0
65,1.557,0,0
66,1.567,0,0
67,1.577,0,0
68,1.587,0,0
69,1.597,0,0
70,1.607,0,0
71,1.617,0,0
72,1.627,0,0
73,1.637,0,0
74,1.647,0,0
75,1.657,0,0
76,1.667,0,0
77,1.677,0,0
78,1.687,0,0
79,1.697,0,0
80,1.707,0,0
81,1.717,0,0
82,1.727,0,0
83,1.737,0,0
84,1.747,0,0
85,1.757,0,0
86,1.767,0,0
87,1.777,0,0
88,1.787,0,0
89,1.797,0,0
90,1.807,0,0
91,1.817,0,0
92,1.827,0,0
93,1.837,0,0
94,1.847,0,0
95,1.857,0,0
96,1.867,0,0
97,1.877,0,0
98,1.887,0,0
99,1.897,0,0
100,1.907,0,0
101,1.917,0,0
102,1.927,0,0
103,1.937,0,0
104,1.947,0,0
105,1.957,0,0
106,1.967,0,0
107,1.977,0,0
108,1.987,0,0
109,1.997,0,0
110,2.007,0,0
111,2.017,0,0
112,2.027,0,0
113,2.037,0,0
114,2.047,0,0
115,2.057,0,0
116,2.067,0,0
117,2.077,0,0
118,2.087,0,0
119,2.097,0,0
120,2.107,0,0
121,2.117,0,0
122,2.127,0,0
123,2.137,0,0
124,2.147,0,0
125,2.157,0,0
126,2.167,0,0
127,2.177,0,0
128,2.187,0,0
129,2.197,0,0
130,2.207,0,0
131,2.217,0,0
132,2.227,0,0
133,2.237,0,0
134,2.247,0,0
135,2.257,0,0
136,2.267,0,0
137,2.277,0,0
138,2.287,0,0
139,2.297,0,0
140,2.307,0,0
141,2.317,0,0
142,2.327,0,0
143,2.337,0,0
144,2.347,0,0
145,2.357,0,0
146,2.367,0,0
147,2.377,0,0
148,2.387,0,0
149,2.397,0,0
150,2.407,0,0
151,2.417,0,0
152,2.427,0,0
153,2.437,0,0
154,2.447,0,0
155,2.457,0,0
156,2.467,0,0
157,2.477,0,0
158,2.487,0,0
159,2.497,0,0
160,2.507,0,0
161,2.517,0,0
162,2.527,0,0
163,2.537,0,0
164,2.547,0,0
165,2.557,0,0
166,2.567,0,0
167,2.577,0,0
168,2.587,0,0
169,2.597,0,0
170,2.607,0,0
171,2.617,0,0
172,2.627,0,0
173,2.637,0,0
174,2.647,0,0
175,2.657,0,0
176,2.667,0,0
177,2.677,0,0
178,2.687,0,0
179,2.697,0,0
180,2.707,0,0
181,2.717,0,0
182,2.727,0,0
183,2.737,0,0
184,2.747,0,0
185,2.757,0,0
186,2.767,0,0
187,2.777,0,0
188,2.787,1,0
189,2.797,1,1
190,2.807,2,2
191,2.817,2,3
192,2.827,4,4
193,2.837,5,4
194,2.847,6,4
195,2.857,7,4
196,2.867,7,4
197,2.877,7,4
198,2.887,7,4
199,2.897,7,4
200,2.907,7,4
201,2.917,7,4
202,2.927,7,4
203,2.937,7,4
204,2.947,7,4
205,2.957,7,4
206,2.967,7,4
207,2.977,7,4
208,2.987,7,4
209,2.997,7,5
210,3.007,7,5
211,3.017,8,5
212,3.027,8,5
213,3.037,8,5
214,3.047,8,5
215,3.057,8,5
216,3.067,8,6
217,3.077,8,6
218,3.087,8,6
219,3.097,8,6
220,3.107,8,6
221,3.117,8,6
222,3.127,9,6
223,3.137,9,7
224,3.147,9,7
225,3.157,9,7
226,3.167,9,7
227,3.177,9,7
228,3.187,9,7
229,3.197,9,8
230,3.207,10,8
231,3.217,10,8
232,3.227,10,8
233,3.237,10,8
234,3.247,10,8
235,3.257,11,9
236,3.267,11,9
237,3.277,11,9
238,3.287,11,9
239,3.297,11,9
240,3.307,12,10
241,3.317,12,10
242,3.327,12,10
243,3.337,12,10
244,3.347,12,10
245,3.357,13,11
246,3.367,13,11
247,3.377,13,11
248,3.387,13,11
249,3.397,13,12
250,3.407,14,12
251,3.417,14,12
252,3.427,14,12
253,3.437,14,13
254,3.447,15,13
255,3.457,15,13
256,3.467,15,13
257,3.477,15,13
258,3.487,16,14
259,3.497,16,14
260,3.507,16,15
261,3.517,16,15
262,3.527,17,15
263,3.537,17,16
264,3.547,17,16
265,3.557,18,16
266,3.567,18,16
267,3.577,18,17
268,3.587,19,17
269,3.597,19,17
270,3.607,19,18
271,3.617,20,18
272,3.627,20,18
273,3.637,21,19
274,3.647,21,19
275,3.657,21,19
276,3.667,21,20
277,3.677,22,20
278,3.687,22,21
279,3.697,23,21
280,3.707,23,21
281,3.717,24,22
282,3.727,24,22
283,3.737,25,22
284,3.747,25,23
285,3.757,25,23
286,3.767,26,24
287,3.777,26,24
288,3.787,27,24
289,3.797,27,25
290,3.807,28,26
291,3.817,28,26
292,3.827,28,26
293,3.837,29,27
294,3.847,30,27
295,3.857,30,28
296,3.867,30,28
297,3.877,31,29
298,3.887,31,29
299,3.897,32,30
300,3.907,33,30
301,3.917,33,31
302,3.927,34,31
303,3.937,34,32
304,3.947,35,32
305,3.957,35,33
306,3.967,36,34
307,3.977,37,34
308,3.987,37,35
309,3.997,38,35
310,4.007,39,36
311,4.017,39,36
312,4.027,40,37
313,4.037,41,38
314,4.047,41,38
315,4.057,41,39
316,4.067,42,40
317,4.077,43,40
318,4.087,44,41
319,4.097,44,42
320,4.107,45,42
321,4.117,46,43
322,4.127,46,44
323,4.137,47,44
324,4.147,48,45
325,4.157,48,46
326,4.167,49,47
327,4.177,50,47
328,4.187,51,48
329,4.197,51,49
330,4.207,52,50
331,4.217,53,51
332,4.227,53,51
333,4.237,54,52
334,4.247,55,53
335,4.257,56,54
336,4.267,57,54
337,4.277,57,55
338,4.287,58,56
339,4.297,59,57
340,4.307,60,58
341,4.317,61,58
342,4.327,62,59
343,4.337,62,60
344,4.347,63,61
345,4.357,64,62
346,4.367,65,63
347,4.377,65,63
348,4.387,66,64
349,4.397,67,65
350,4.407,68,66
351,4.417,69,67
352,4.427,70,68
353,4.437,71,69
354,4.447,72,70
355,4.457,73,71
356,4.467,73,72
357,4.477,74,73
358,4.487,75,74
359,4.497,76,75
360,4.507,77,75
361,4.517,78,76
362,4.527,79,77
363,4.537,80,78
364,4.547,81,79
365,4.557,82,80
366,4.567,83,81
367,4.577,84,81
368,4.587,85,82
369,4.597,86,83
370,4.607,87,85
371,4.617,88,86
372,4.627,89,87
373,4.637,90,87
374,4.647,91,88
375,4.657,92,89
376,4.667,93,90
377,4.677,94,91
378,4.687,95,92
379,4.697,96,93
380,4.707,97,94
381,4.717,98,95
382,4.727,99,96
383,4.737,100,97
384,4.747,101,97
385,4.757,102,98
386,4.767,104,99
387,4.777,105,100
388,4.787,106,101
389,4.797,107,102
390,4.807,108,103
391,4.817,109,104
392,4.827,110,105
393,4.837,111,106
394,4.847,112,107
395,4.857,113,108
396,4.867,115,108
397,4.877,116,109
398,4.887,117,110
399,4.897,118,111
400,4.907,119,112
401,4.917,120,112
402,4.927,121,113
403,4.937,122,114
404,4.947,124,115
405,4.957,125,116
406,4.967,126,116
407,4.977,127,117
408,4.987,128,118
409,4.997,130,119
410,5.007,130,119
411,5.017,132,120
412,5.027,133,120
413,5.037,134,121
414,5.047,136,122
415,5.057,137,122
416,5.067,138,122
417,5.077,139,122
418,5.087,140,122
419,5.097,141,122
420,5.107,143,122
421,5.117,144,122
422,5.127,145,122
423,5.137,147,123
424,5.147,148,125
425,5.157,149,126
426,5.167,150,127
427,5.177,151,128
428,5.187,153,129
429,5.197,154,131
430,5.207,155,131
431,5.217,156,132
432,5.227,157,132
433,5.237,158,133
434,5.247,160,133
435,5.257,161,134
436,5.267,161,134
437,5.277,162,134
438,5.287,162,134
439,5.297,163,136
440,5.307,164,136
441,5.317,165,137
442,5.327,167,138
443,5.337,169,138
444,5.347,170,139
445,5.357,172,140
446,5.367,173,140
447,5.377,173,141
448,5.387,174,141
449,5.397,175,142
450,5.407,177,142
451,5.417,177,143
452,5.427,179,143
453,5.437,180,144
454,5.447,181,144
455,5.457,182,145
456,5.467,184,145
457,5.477,185,146
458,5.487,186,146
459,5.497,187,146
460,5.507,188,146
461,5.517,189,146
462,5.527,190,147
463,5.537,191,147
464,5.547,192,148
465,5.557,193,148
466,5.567,194,148
467,5.577,195,148
468,5.587,196,148
469,5.597,197,148
470,5.607,198,148
471,5.617,199,148
472,5.627,201,148
473,5.637,201,148
474,5.647,202,148
475,5.657,203,148
476,5.667,204,148
477,5.677,205,148
478,5.687,206,148
479,5.697,206,148
480,5.707,208,148
481,5.717,208,148
482,5.727,209,148
483,5.737,210,148
484,5.747,211,148
485,5.757,212,148
486,5.767,213,148
487,5.777,213,148
488,5.787,213,148
489,5.797,213,148
490,5.807,213,149
491,5.817,213,149
492,5.827,213,149
493,5.837,213,149
494,5.847,213,149
495,5.857,213,149
496,5.867,213,149
497,5.877,213,149
498,5.887,213,149
499,5.897,213,149
500,5.907,213,149
501,5.917,213,149
502,5.927,214,149
503,5.937,215,149
504,5.947,217,150
505,5.957,219,151
506,5.967,221,152
507,5.977,223,154
508,5.987,225,155
509,5.997,227,156
510,6.007,229,155
511,6.017,232,155
512,6.027,233,155
513,6.037,234,155
514,6.047,234,155
515,6.057,234,155
516,6.067,235,155
517,6.077,235,155
518,6.087,236,155
519,6.097,237,155
520,6.107,238,155
521,6.117,238,155
522,6.127,239,155
523,6.137,240,155
524,6.147,240,155
525,6.157,241,155
526,6.167,242,155
527,6.177,242,155
528,6.187,244,155
529,6.197,244,155
530,6.207,245,155
531,6.217,245,155
532,6.227,246,155
533,6.237,246,155
534,6.247,247,155
535,6.257,248,155
536,6.267,249,156
537,6.277,249,156
538,6.287,251,156
539,6.297,251,156
540,6.307,252,156
541,6.317,253,156
542,6.327,253,156
543,6.337,254,156
544,6.347,254,156
545,6.357,255,156
546,6.367,256,156
547,6.377,257,156
548,6.387,257,156
549,6.397,258,157
550,6.407,258,157
551,6.417,259,157
552,6.427,260,157
553,6.437,260,157
554,6.447,260,158
555,6.457,261,158
556,6.467,261,158
557,6.477,262,158
558,6.487,262,158
559,6.497,263,158
560,6.507,264,159
561,6.517,265,159
562,6.527,265,159
563,6.537,265,159
564,6.547,266,159
565,6.557,267,159
566,6.567,268,159
567,6.577,268,159
568,6.587,269,160
569,6.597,269,160
570,6.607,270,160
571,6.617,270,160
572,6.627,271,160
573,6.637,272,160
574,6.647,272,160
575,6.657,273,161
576,6.667,273,161
577,6.677,274,161
578,6.687,274,161
579,6.697,275,161
580,6.707,275,161
581,6.717,276,161
582,6.727,277,161
583,6.737,277,162
584,6.747,278,162
585,6.757,278,162
586,6.767,278,163
587,6.777,278,163
588,6.787,278,163
589,6.797,278,163
590,6.807,278,163
591,6.817,278,163
592,6.827,278,164
593,6.837,277,164
594,6.847,276,164
595,6.857,275,164
596,6.867,273,164
597,6.877,273,164
598,6.887,273,164
599,6.897,273,165
600,6.907,273,165
601,6.917,274,165
602,6.927,274,165
603,6.937,274,165
604,6.947,275,165
605,6.957,275,166
606,6.967,276,166
607,6.977,276,166
608,6.987,276,166
609,6.997,277,166
610,7.007,277,166
611,7.017,277,167
612,7.027,277,167
613,7.037,277,167
614,7.047,277,167
615,7.057,277,167
616,7.067,277,167
617,7.077,277,167
618,7.087,278,167
619,7.097,278,167
620,7.107,278,168
621,7.117,278,168
622,7.127,279,169
623,7.137,280,169
624,7.147,281,169
625,7.157,282,169
626,7.167,282,169
627,7.177,283,169
628,7.187,284,169
629,7.197,284,169
630,7.207,284,170
631,7.217,284,170
632,7.227,284,170
633,7.237,284,170
634,7.247,284,170
635,7.257,284,170
636,7.267,284,171
637,7.277,284,171
638,7.287,284,172
639,7.297,284,172
640,7.307,284,172
641,7.317,284,172
642,7.327,284,172
643,7.337,284,172
644,7.347,284,172
645,7.357,284,173
646,7.367,284,173
647,7.377,284,173
648,7.387,284,173
649,7.397,284,173
650,7.407,285,174
651,7.417,286,174
652,7.427,289,174
653,7.437,291,174
654,7.447,293,175
655,7.457,294,175
656,7.467,294,175
657,7.477,294,175
658,7.487,294,175
659,7.497,294,176
660,7.507,294,176
661,7.517,294,177
662,7.527,294,177
663,7.537,294,177
664,7.547,294,177
665,7.557,295,178
666,7.567,295,178
667,7.577,296,179
668,7.587,296,179
669,7.597,296,179
670,7.607,296,179
671,7.617,296,180
672,7.627,297,180
673,7.637,297,181
674,7.647,297,181
675,7.657,297,181
676,7.667,297,181
677,7.677,298,182
678,7.687,298,182
679,7.697,299,183
680,7.707,299,183
681,7.717,300,183
682,7.727,300,183
683,7.737,301,183
684,7.747,301,183
685,7.757,301,184
686,7.767,302,184
687,7.777,302,185
688,7.787,302,185
689,7.797,302,185
690,7.807,303,186
691,7.817,303,186
692,7.827,304,187
693,7.837,304,187
694,7.847,304,187
695,7.857,305,188
696,7.867,305,189
697,7.877,305,190
698,7.887,306,190
699,7.897,306,190
700,7.907,307,191
701,7.917,307,191
702,7.927,308,192
703,7.937,308,192
704,7.947,308,192
705,7.957,309,193
706,7.967,309,193
707,7.977,309,194
708,7.987,310,194
709,7.997,310,194
710,8.007,311,195
711,8.017,312,196
712,8.027,312,196
713,8.037,313,197
714,8.047,313,197
715,8.057,313,198
716,8.067,314,199
717,8.077,314,199
718,8.087,315,199
719,8.097,316,200
720,8.107,316,201
721,8.117,317,201
722,8.127,317,202
723,8.137,318,202
724,8.147,318,203
725,8.157,319,204
726,8.167,320,204
727,8.177,320,205
728,8.187,321,205
729,8.197,321,206
730,8.207,322,207
731,8.217,322,207
732,8.227,323,208
733,8.237,324,209
734,8.247,324,209
735,8.257,325,210
736,8.267,325,211
737,8.277,326,211
738,8.287,327,212
739,8.297,327,213
740,8.307,328,214
741,8.317,329,214
742,8.327,329,215
743,8.337,330,216
744,8.347,331,216
745,8.357,332,217
746,8.367,332,218
747,8.377,333,218
748,8.387,334,220
749,8.397,334,220
750,8.407,335,221
751,8.417,336,222
752,8.427,337,223
753,8.437,337,224
754,8.447,338,224
755,8.457,339,225
756,8.467,340,226
757,8.477,341,227
758,8.487,341,228
759,8.497,342,228
760,8.507,343,229
761,8.517,344,230
762,8.527,345,231
763,8.537,345,232
764,8.547,346,233
765,8.557,347,234
766,8.567,348,235
767,8.577,349,236
768,8.587,350,237
769,8.597,350,237
770,8.607,352,238
771,8.617,353,239
772,8.627,353,240
773,8.637,354,241
774,8.647,355,242
775,8.657,356,242
776,8.667,357,243
777,8.677,358,244
778,8.687,359,246
779,8.697,360,246
780,8.707,361,247
781,8.717,362,248
782,8.727,363,249
783,8.737,364,250
784,8.747,365,251
785,8.757,366,252
786,8.767,368,253
787,8.777,368,254
788,8.787,369,255
789,8.797,370,256
790,8.807,371,257
791,8.817,373,258
792,8.827,373,259
793,8.837,374,260
794,8.847,376,261
795,8.857,377,262
796,8.867,378,263
797,8.877,379,264
798,8.887,380,265
799,8.897,381,266
800,8.907,382,267
801,8.917,383,268
802,8.927,385,269
803,8.937,385,270
804,8.947,387,271
805,8.957,388,272
806,8.967,389,273
807,8.977,390,275
808,8.987,391,275
809,8.997,392,276
810,9.007,394,277
811,9.017,395,278
812,9.027,396,280
813,9.037,397,281
814,9.047,398,282
815,9.057,400,282
816,9.067,401,284
817,9.077,402,285
818,9.087,403,286
819,9.097,405,287
820,9.107,406,288
821,9.117,407,289
822,9.127,409,290
823,9.137,410,291
824,9.147,411,292
825,9.157,413,293
826,9.167,414,294
827,9.177,415,295
828,9.187,416,296
829,9.197,418,297
830,9.207,419,299
831,9.217,421,300
832,9.227,422,301
833,9.237,423,302
834,9.247,424,303
835,9.257,426,304
836,9.267,427,305
837,9.277,429,306
838,9.287,430,307
839,9.297,432,308
840,9.307,433,309
841,9.317,434,310
842,9.327,436,311
843,9.337,437,312
844,9.347,439,314
845,9.357,440,314
846,9.367,441,315
847,9.377,443,316
848,9.387,445,317
849,9.397,446,319
850,9.407,448,319
851,9.417,449,320
852,9.427,450,321
853,9.437,452,323
854,9.447,453,323
855,9.457,455,324
856,9.467,456,325
857,9.477,457,326
858,9.487,459,327
859,9.497,461,329
860,9.507,462,330
861,9.517,464,331
862,9.527,465,332
863,9.537,466,333
864,9.547,468,333
865,9.557,469,335
866,9.567,471,335
867,9.577,473,336
868,9.587,474,337
869,9.597,475,338
870,9.607,477,339
871,9.617,478,340
872,9.627,480,341
873,9.637,481,342
874,9.647,483,343
875,9.657,484,344
876,9.667,486,345
877,9.677,487,346
878,9.687,489,347
879,9.697,490,348
880,9.707,491,348
881,9.717,493,350
882,9.727,494,350
883,9.737,496,351
884,9.747,498,352
885,9.757,499,353
886,9.767,501,354
887,9.777,501,355
888,9.787,503,356
889,9.797,504,356
890,9.807,506,357
891,9.817,507,358
892,9.827,508,358
893,9.837,509,358
894,9.847,510,358
895,9.857,510,358
896,9.867,511,358
897,9.877,511,358
898,9.887,511,358
899,9.897,511,358
900,9.907,511,358
901,9.917,511,358
902,9.927,512,359
903,9.937,512,360
904,9.947,513,361
905,9.957,514,362
906,9.967,516,364
907,9.977,518,364
908,9.987,520,365
909,9.997,522,366
910,10.007,524,367
911,10.017,525,368
912,10.027,527,368
913,10.037,528,368
914,10.047,529,369
915,10.057,530,369
916,10.067,531,369
917,10.077,532,369
918,10.087,533,370
919,10.097,533,371
920,10.107,534,372
921,10.117,534,373
922,10.127,535,374
923,10.137,537,375
924,10.147,538,376
925,10.157,540,376
926,10.167,541,376
927,10.177,542,377
928,10.187,544,377
929,10.197,545,377
930,10.207,547,377
931,10.217,548,378
932,10.227,549,379
933,10.237,550,380
934,10.247,551,380
935,10.257,551,381
936,10.267,552,382
937,10.277,553,382
938,10.287,553,382
939,10.297,555,382
940,10.307,556,383
941,10.317,557,383
942,10.327,558,384
943,10.337,559,384
944,10.347,560,385
945,10.357,561,386
946,10.367,562,386
947,10.377,563,386
948,10.387,564,387
949,10.397,565,387
950,10.407,565,387
951,10.417,566,388
952,10.427,567,388
953,10.437,568,388
954,10.447,569,389
955,10.457,569,390
956,10.467,570,390
957,10.477,572,390
958,10.487,572,391
959,10.497,573,391
960,10.507,574,391
961,10.517,575,391
962,10.527,576,392
963,10.537,576,392
964,10.547,577,392
965,10.557,577,393
966,10.567,578,393
967,10.577,579,394
968,10.587,580,394
969,10.597,581,394
970,10.607,581,394
971,10.617,582,394
972,10.627,583,394
973,10.637,584,395
974,10.647,585,395
975,10.657,586,395
976,10.667,587,395
977,10.677,588,396
978,10.687,589,396
979,10.697,590,396
980,10.707,590,396
981,10.717,591,396
982,10.727,592,396
983,10.737,593,397
984,10.747,594,397
985,10.757,595,397
986,10.767,596,397
987,10.777,597,397
988,10.787,597,397
989,10.797,598,397
990,10.807,600,397
991,10.817,601,397
992,10.827,602,398
993,10.837,603,398
994,10.847,604,398
995,10.857,605,398
996,10.867,606,398
997,10.877,606,398
998,10.887,606,398
999,10.897,606,398
1000,10.907,607,398
1001,10.917,607,398
1002,10.927,608,398
1003,10.937,608,398
1004,10.947,609,398
1005,10.957,609,399
1006,10.968,610,399
1007,10.978,611,399
1008,10.988,611,399
1009,10.998,612,399
1010,11.008,612,399
1011,11.018,612,399
1012,11.028,613,399
1013,11.038,613,399
1014,11.048,613,399
1015,11.058,614,399
1016,11.068,614,399
1017,11.078,615,399
1018,11.088,615,399
1019,11.098,616,399
1020,11.108,616,398
1021,11.118,617,398
1022,11.128,617,398
1023,11.138,617,398
1024,11.148,617,398
1025,11.158,618,398
1026,11.168,618,398
1027,11.178,618,398
1028,11.188,619,398
1029,11.198,619,398
1030,11.208,620,398
1031,11.218,620,398
1032,11.228,620,398
1033,11.238,620,398
1034,11.248,621,398
1035,11.258,621,398
1036,11.268,621,398
1037,11.278,621,398
1038,11.288,621,398
1039,11.298,621,398
1040,11.308,622,398
1041,11.318,622,398
1042,11.328,622,398
1043,11.338,623,398
1044,11.348,623,398
1045,11.358,623,398
1046,11.368,623,398
1047,11.378,624,398
1048,11.388,624,398
1049,11.398,624,398
1050,11.408,624,398
1051,11.418,625,398
1052,11.428,626,398
1053,11.438,626,398
1054,11.448,627,398
1055,11.458,627,398
1056,11.468,628,398
1057,11.478,628,398
1058,11.488,628,398
1059,11.498,628,398
1060,11.508,628,398
1061,11.518,629,398
1062,11.528,629,398
1063,11.538,629,398
1064,11.548,629,398
1065,11.558,629,398
1066,11.568,629,398
1067,11.578,630,398
1068,11.588,630,398
1069,11.598,630,398
1070,11.608,630,398
1071,11.618,631,398
1072,11.628,631,398
1073,11.638,631,398
1074,11.648,632,398
1075,11.658,632,398
1076,11.668,632,398
1077,11.678,632,398
1078,11.688,632,398
1079,11.698,632,398
1080,11.708,632,398
1081,11.718,633,398
1082,11.728,633,398
1083,11.738,633,398
1084,11.748,633,398
1085,11.758,633,398
1086,11.768,633,398
1087,11.778,634,398
1088,11.788,634,398
1089,11.798,634,398
1090,11.808,634,398
1091,11.818,635,398
1092,11.828,635,397
1093,11.838,635,397
1094,11.848,635,397
1095,11.858,635,397
1096,11.868,635,397
1097,11.878,635,397
1098,11.888,635,397
1099,11.898,635,397
1100,11.908,635,397
1101,11.918,635,397
1102,11.928,635,397
1103,11.938,634,397
1104,11.948,634,397
1105,11.958,634,397
1106,11.968,633,397
1107,11.978,633,397
1108,11.988,633,397
1109,11.998,632,397
1110,12.008,629,397
1111,12.018,627,397
1112,12.028,625,397
1113,12.038,624,397
1114,12.048,624,397
1115,12.058,624,397
1116,12.068,624,397
1117,12.078,624,397
1118,12.088,624,397
1119,12.098,624,397
1120,12.108,624,397
1121,12.118,624,397
1122,12.128,624,397
1123,12.138,624,397
1124,12.148,624,397
1125,12.158,624,397
1126,12.168,624,396
1127,12.178,623,396
1128,12.188,623,396
1129,12.198,623,396
1130,12.208,623,396
1131,12.218,622,396
1132,12.228,622,396
1133,12.238,622,396
